mundesc,codmun,uf,cobatb,cobsbuc,prprenat7,prprenat4-6,prprenat1-3,rzcito,rzmamogr,rzpamc,rzintccmc,rzpaac,rzintccac,prachoacd,prpamcnr,prpaacnr,printmcnr,printacnr,prisab,txsifcong,prcuratb,prcurahans,Cobtetrav1,mescovds,prexodon,prparton,probm15uti,probiiam,ghm,RegBr
Prata do Piauí,220860,PI,"97,2%","97,2%","27,9%","51,2%","16,3%","74,4%","0,0%","0,04","1,65","0,41","1,86","38,7%","0,0%","0,0%","0,0%","0,0%","35,9%",,,,"107,8%","0,57","0,0%","57,7%","16,2%","14,3%",GH6,NE
Queimada Nova,220865,PI,"140,1%","110,9%","29,1%","58,9%","8,7%","67,8%","7,7%","0,01","1,32","0,56","0,53","38,7%","0,0%","0,0%","0,0%","0,0%","53,6%",,,,"111,0%","0,49","20,4%","61,0%","15,3%","13,3%",GH6,NE
Redenção do Gurguéia,220870,PI,"107,1%","107,1%","35,5%","51,5%","12,4%","52,2%","1,5%","0,06","5,84","0,27","1,13","36,8%","0,0%","0,0%","0,0%","0,0%","49,3%",,"50,0%","80,0%","104,9%","2,55","23,9%","53,1%","19,6%","13,3%",GH6,NE
Regeneração,220880,PI,"136,5%","135,1%","41,2%","46,5%","9,1%","125,1%","1,3%","0,13","6,81","0,84","1,51","38,9%","0,0%","0,0%","0,0%","0,0%","42,5%",,"60,0%","92,3%","113,7%","0,49","11,1%","62,1%","16,9%","13,1%",GH6,NE
Riacho Frio,220885,PI,"141,6%","141,6%","28,0%","44,3%","21,1%","17,1%","0,0%","0,02","1,54","0,12","0,71","37,6%","0,0%","0,0%","0,0%","0,0%","47,3%",,,"0,0%","89,6%","1,01","39,2%","66,9%","16,7%","13,3%",GH6,NE
Ribeira do Piauí,220887,PI,"140,7%","140,7%","43,2%","47,2%","9,0%","38,1%","0,0%","0,02","1,88","0,38","0,79","39,7%","0,0%","0,0%","0,0%","0,0%","37,2%",,,"75,0%","95,9%","0,00","0,0%","46,0%","19,0%","14,2%",GH6,NE
Ribeiro Gonçalves,220890,PI,"87,7%","87,7%","35,0%","47,2%","7,6%","73,0%","0,5%","0,03","2,33","0,44","1,21","35,3%","0,0%","0,0%","0,0%","0,0%","37,9%",,"0,0%","80,0%","94,5%","0,45","10,4%","61,3%","18,3%","13,4%",GH6,NE
Rio Grande do Piauí,220900,PI,"140,0%","140,0%","47,1%","48,6%","3,3%","96,2%","0,8%","0,03","3,02","0,53","0,56","42,1%","0,0%","0,0%","0,0%","0,0%","38,9%",,"66,7%","42,9%","67,3%","1,52","0,0%","46,6%","17,3%","14,3%",GH6,NE
Santa Cruz do Piauí,220910,PI,"99,6%","99,6%","39,8%","52,1%","7,6%","179,4%","7,8%","0,14","5,18","2,21","1,39","38,4%","0,0%","0,0%","0,0%","0,0%","51,3%",,"100,0%","50,0%","65,3%","1,28","12,9%","54,0%","20,5%","12,7%",GH6,NE
Santa Cruz dos Milagres,220915,PI,"92,3%","92,3%","53,7%","36,2%","4,7%","60,5%","0,7%","0,08","1,64","1,06","0,90","39,4%","0,0%","0,0%","0,0%","0,0%","36,9%",,"0,0%","0,0%","91,4%","0,24","0,0%","48,2%","16,7%","13,3%",GH6,NE
Santa Filomena,220920,PI,"98,4%","98,4%","16,5%","59,7%","20,3%","26,6%","0,3%","0,08","0,48","1,15","1,36","37,4%","0,0%","0,0%","0,0%","0,0%","27,2%",,"100,0%","50,0%","97,2%","0,03","14,1%","67,5%","16,5%","13,3%",GH6,NE
Santa Luz,220930,PI,"108,8%","108,8%","60,8%","34,5%","3,7%","24,3%","0,5%","0,03","4,58","0,96","1,08","42,9%","0,0%","0,0%","0,0%","0,0%","44,4%",,"100,0%","100,0%","70,6%","0,97","0,0%","45,8%","17,5%","13,3%",GH6,NE
Santana do Piauí,220935,PI,"122,0%","122,0%","35,8%","50,6%","13,1%","110,8%","3,6%","0,01","5,41","1,19","0,69","38,0%","0,0%","0,0%","0,0%","0,0%","60,1%",,"100,0%","100,0%","107,9%","3,05","29,5%","40,6%","18,0%","12,0%",GH6,NE
Santa Rosa do Piauí,220937,PI,"116,5%","116,5%","32,2%","59,7%","7,1%","73,8%","14,1%","0,10","3,75","3,25","1,61","35,9%","0,0%","0,0%","0,0%","0,0%","42,6%",,,"100,0%","73,1%","0,89","0,0%","58,2%","16,7%","13,7%",GH6,NE
Santo Antônio de Lisboa,220940,PI,"95,8%","95,7%","36,0%","49,1%","13,2%","52,4%","4,9%","0,01","7,37","1,60","1,41","35,6%","0,0%","0,0%","0,0%","0,0%","59,1%",,,"62,5%","124,7%","0,00","8,1%","41,4%","17,5%","14,3%",GH6,NE
Santo Antônio dos Milagres,220945,PI,"145,8%","145,8%","28,6%","61,9%","3,8%","93,6%","0,0%","0,07","3,60","0,70","1,03","41,8%","0,0%","0,0%","0,0%","0,0%","52,8%",,,,"114,6%","2,01","0,0%","65,7%","15,3%","13,3%",GH6,NE
Santo Inácio do Piauí,220950,PI,"164,2%","82,1%","57,6%","37,4%","2,9%","85,6%","8,3%","0,01","3,72","2,48","1,24","35,9%","0,0%","0,0%","0,0%","0,0%","44,2%",,"50,0%","66,7%","100,0%","0,89","0,0%","56,4%","19,1%","15,5%",GH6,NE
São Braz do Piauí,220955,PI,"139,1%","139,1%","72,6%","24,7%","2,2%","237,8%","0,0%","0,01","9,52","0,55","0,97","33,5%","0,0%","0,0%","0,0%","0,0%","39,4%",,"0,0%","50,0%","86,8%","0,00","26,8%","43,2%","16,7%","13,6%",GH6,NE
São Félix do Piauí,220960,PI,"97,8%","97,8%","41,7%","50,0%","5,6%","98,3%","0,0%","0,03","4,05","1,27","2,49","40,4%","0,0%","0,0%","0,0%","0,0%","45,5%",,"0,0%","85,7%","114,8%","1,31","0,0%","51,6%","16,5%","13,3%",GH6,NE
São Francisco de Assis do Piauí,220965,PI,"98,7%","107,6%","34,2%","57,7%","6,2%","58,3%","9,7%","0,01","1,27","0,66","1,16","35,9%","0,0%","0,0%","0,0%","0,0%","42,0%",,"0,0%","50,0%","73,4%","0,14","35,1%","59,7%","16,5%","13,5%",GH6,NE
São Francisco do Piauí,220970,PI,"142,8%","142,8%","29,4%","62,7%","6,6%","69,4%","8,4%","0,04","6,52","1,17","1,27","36,5%","0,0%","0,0%","0,0%","0,0%","41,9%",,"100,0%","53,3%","89,0%","0,00","0,0%","53,1%","15,3%","14,2%",GH6,NE
São Gonçalo do Gurguéia,220975,PI,"106,2%","106,2%","21,4%","61,5%","16,2%","40,2%","0,5%","0,04","1,53","0,17","0,75","36,5%","0,0%","0,0%","0,0%","0,0%","43,0%",,"100,0%",,"102,2%","0,00","0,0%","61,1%","15,3%","13,3%",GH6,NE
São Gonçalo do Piauí,220980,PI,"126,2%","121,0%","54,3%","35,8%","5,3%","67,7%","1,1%","0,11","2,92","0,76","0,71","37,2%","0,0%","0,0%","0,0%","0,0%","44,5%",,"100,0%","0,0%","81,9%","0,00","0,0%","53,6%","16,3%","14,2%",GH6,NE
São João da Canabrava,220985,PI,"135,0%","101,2%","39,2%","51,7%","7,4%","149,3%","4,4%","0,03","6,24","1,47","1,86","41,1%","0,0%","0,0%","0,0%","0,0%","60,0%",,"0,0%","0,0%","134,6%","1,13","23,9%","58,5%","15,3%","6,9%",GH6,NE
São João da Fronteira,220987,PI,"102,5%","102,5%","30,8%","48,9%","16,3%","16,4%","0,3%","0,08","1,18","0,33","0,97","41,1%","0,0%","0,0%","0,0%","0,0%","26,7%",,"85,7%",,"116,4%","0,00","7,3%","66,0%","16,5%","13,3%",GH6,NE
São João da Serra,220990,PI,"146,2%","146,2%","54,5%","37,0%","6,0%","119,0%","1,0%","0,12","3,06","0,52","0,96","37,0%","0,0%","0,0%","0,0%","0,0%","47,6%",,,"80,0%","78,0%","1,11","15,5%","59,5%","17,0%","14,4%",GH6,NE
São João da Varjota,220995,PI,"129,1%","129,1%","35,3%","56,0%","7,1%","173,8%","8,4%","0,04","7,25","2,80","1,70","35,8%","0,0%","0,0%","0,0%","0,0%","45,5%",,"60,0%","100,0%","108,9%","1,81","11,6%","51,9%","18,8%","12,8%",GH6,NE
São João do Arraial,220997,PI,"122,7%","122,7%","29,4%","61,2%","7,7%","66,1%","1,1%","0,16","2,01","0,61","1,64","41,0%","0,0%","0,0%","0,0%","0,0%","38,9%",,,"50,0%","106,3%","5,73","3,1%","54,4%","16,9%","13,9%",GH6,NE
São João do Piauí,221000,PI,"122,7%","122,7%","48,9%","40,4%","8,8%","96,4%","0,1%","0,06","2,71","0,87","1,60","36,1%","0,0%","0,0%","0,0%","0,0%","42,2%","1,50","90,9%","92,9%","99,2%","1,93","5,7%","35,7%","14,0%","17,3%",GH6,NE
São José do Divino,221005,PI,"116,7%","116,7%","43,3%","43,8%","10,3%","108,3%","0,9%","0,25","2,50","1,95","1,45","40,7%","0,0%","0,0%","0,0%","0,0%","35,9%",,"100,0%","50,0%","100,0%","1,51","21,6%","57,6%","16,7%","13,3%",GH6,NE
São José do Peixe,221010,PI,"155,4%","155,4%","29,9%","59,9%","9,6%","31,0%","0,3%","0,01","3,83","0,62","0,83","34,1%","0,0%","0,0%","0,0%","0,0%","54,2%",,,"80,0%","85,5%","1,87","0,0%","63,2%","17,5%","14,2%",GH6,NE
São José do Piauí,221020,PI,"136,2%","136,2%","49,4%","45,1%","5,2%","184,8%","2,0%","0,02","5,43","2,06","1,79","37,0%","0,0%","0,0%","0,0%","0,0%","63,7%",,"0,0%",,"98,1%","1,78","6,9%","37,3%","17,6%","10,2%",GH6,NE
São Julião,221030,PI,"149,7%","96,9%","56,9%","35,8%","5,6%","73,9%","3,2%","0,03","8,89","1,88","1,52","37,4%","0,0%","0,0%","0,0%","0,0%","54,0%",,"100,0%","66,7%","113,0%","0,29","3,6%","38,2%","16,1%","13,9%",GH6,NE
São Lourenço do Piauí,221035,PI,"130,0%","130,0%","64,2%","26,4%","8,8%","144,5%","0,0%","0,01","11,03","0,60","0,61","38,0%","0,0%","0,0%","0,0%","0,0%","39,0%",,"0,0%","50,0%","134,0%","0,00","0,0%","49,5%","16,7%","9,1%",GH6,NE
São Luis do Piauí,221037,PI,"107,4%","107,4%","30,0%","47,8%","18,9%","53,7%","30,3%","0,01","4,48","2,46","1,36","37,2%","0,0%","0,0%","0,0%","0,0%","59,9%",,,"75,0%","54,5%","0,00","21,4%","54,3%","15,3%","9,9%",GH6,NE
São Miguel da Baixa Grande,221038,PI,"142,0%","142,0%","19,1%","53,2%","22,3%","51,9%","0,5%","0,08","1,92","0,84","1,68","38,3%","0,0%","0,0%","0,0%","0,0%","30,4%",,"0,0%",,"112,5%","0,00","0,0%","59,0%","16,7%","14,4%",GH6,NE
São Miguel do Fidalgo,221039,PI,"100,8%","100,8%","17,2%","62,9%","15,5%","82,0%","1,4%","0,02","3,09","1,57","0,51","38,3%","0,0%","0,0%","0,0%","0,0%","48,0%",,"0,0%","33,3%","111,9%","1,36","8,0%","51,1%","15,3%","13,3%",GH6,NE
São Miguel do Tapuio,221040,PI,"125,4%","93,7%","61,7%","30,7%","4,7%","183,7%","1,2%","0,07","3,97","0,77","1,43","37,6%","0,0%","0,0%","0,0%","0,0%","47,7%",,"85,7%","86,5%","113,8%","7,06","3,2%","73,7%","15,5%","18,5%",GH6,NE
São Pedro do Piauí,221050,PI,"132,5%","138,9%","38,9%","46,0%","9,4%","47,1%","1,4%","0,07","6,31","0,88","1,05","37,4%","0,0%","0,0%","0,0%","0,0%","46,1%",,"66,7%","100,0%","116,5%","1,65","20,6%","61,4%","17,9%","14,3%",GH6,NE
São Raimundo Nonato,221060,PI,"115,2%","107,4%","47,9%","39,4%","10,9%","162,0%","0,1%","0,05","14,59","1,02","1,07","42,4%","0,1%","0,0%","0,3%","0,0%","38,9%",,"80,0%","94,1%","91,4%","0,00","0,0%","40,2%","21,4%","11,6%",GH4,NE
Sebastião Barros,221062,PI,"168,6%","168,6%","13,5%","52,0%","24,6%","81,5%","0,0%","0,07","2,78","0,78","1,19","39,0%","0,0%","0,0%","0,0%","0,0%","43,2%",,,"100,0%","65,9%","1,80","0,0%","63,3%","17,6%","13,3%",GH6,NE
Sebastião Leal,221063,PI,"139,7%","139,7%","30,3%","62,4%","6,7%","126,1%","1,8%","0,03","2,21","0,46","1,47","37,4%","0,0%","0,0%","0,0%","0,0%","34,9%",,,"33,3%","96,4%","0,00","21,5%","44,1%","17,5%","15,6%",GH6,NE
Sigefredo Pacheco,221065,PI,"124,8%","93,6%","48,9%","40,8%","8,2%","55,2%","13,8%","0,04","3,23","0,97","1,11","38,2%","0,0%","0,0%","0,0%","0,0%","37,7%",,"100,0%","20,0%","102,8%","4,01","0,0%","56,9%","18,7%","16,0%",GH6,NE
Simões,221070,PI,"126,9%","114,6%","34,8%","52,9%","10,6%","113,8%","2,9%","0,12","9,58","2,29","1,61","37,0%","0,0%","0,0%","0,0%","0,0%","46,9%",,"42,9%","44,4%","86,9%","0,70","9,2%","63,3%","16,1%","12,0%",GH4,NE
Simplício Mendes,221080,PI,"120,1%","120,1%","30,8%","48,4%","15,7%","65,6%","1,5%","0,08","1,93","1,59","1,27","39,7%","0,0%","0,0%","0,0%","0,0%","48,0%",,"50,0%","94,7%","96,1%","0,54","10,1%","63,4%","18,1%","12,5%",GH6,NE
Socorro do Piauí,221090,PI,"121,5%","121,5%","33,0%","52,3%","12,5%","86,3%","3,4%","0,03","1,38","0,32","0,67","37,0%","0,0%","0,0%","0,0%","0,0%","39,5%",,"0,0%","100,0%","103,3%","0,03","19,7%","53,4%","17,8%","13,3%",GH6,NE
Sussuapara,221093,PI,"100,2%","96,2%","43,8%","44,2%","9,4%","89,9%","4,7%","0,02","8,53","1,61","0,90","42,3%","0,0%","0,0%","0,0%","0,0%","60,6%",,"100,0%","75,0%","109,4%","3,60","11,9%","36,4%","18,6%","12,8%",GH6,NE
Tamboril do Piauí,221095,PI,"99,8%","99,8%","43,2%","51,8%","3,6%","52,4%","4,7%","0,01","3,84","0,86","1,32","39,0%","0,0%","0,0%","0,0%","0,0%","42,7%",,,"100,0%","60,0%","3,12","50,5%","48,5%","16,5%","14,3%",GH6,NE
Tanque do Piauí,221097,PI,"114,5%","114,5%","48,1%","40,6%","7,5%","65,9%","29,4%","0,10","4,28","2,30","1,47","37,2%","0,0%","0,0%","0,0%","0,0%","40,0%",,,"100,0%","125,0%","0,00","86,7%","50,9%","15,3%","14,1%",GH6,NE
Teresina,221100,PI,"88,5%","66,0%","49,7%","36,4%","8,7%","75,4%","23,2%","1,01","4,41","4,14","3,71","43,6%","1,4%","1,1%","1,4%","1,3%","38,2%","0,23","74,1%","82,2%","89,8%","1,12","5,9%","40,8%","16,5%","17,6%",GH1,NE
União,221110,PI,"120,9%","109,0%","41,1%","44,5%","10,7%","115,8%","1,3%","0,08","5,37","1,23","1,25","45,7%","0,0%","0,0%","0,0%","0,0%","62,0%",,"83,3%","78,4%","192,7%","5,54","13,1%","61,5%","16,9%","17,5%",GH4,NE
Uruçuí,221120,PI,"115,4%","81,9%","24,2%","62,3%","11,7%","63,2%","0,1%","0,07","7,15","0,90","1,55","41,2%","0,0%","0,0%","0,0%","0,0%","49,9%",,"88,9%","92,6%","98,4%","0,11","19,6%","50,5%","18,0%","13,4%",GH3,NE
Valença do Piauí,221130,PI,"142,7%","136,9%","65,6%","28,5%","3,9%","98,0%","14,1%","0,11","7,19","1,30","1,02","38,5%","0,0%","0,0%","0,1%","0,0%","60,9%","2,36","100,0%","66,7%","100,7%","0,55","5,8%","39,3%","21,0%","16,2%",GH4,NE
Várzea Branca,221135,PI,"122,1%","122,1%","45,4%","46,2%","7,6%","158,7%","0,0%","0,03","7,27","0,55","1,04","34,1%","0,0%","0,0%","0,0%","0,0%","36,0%",,,,"97,2%","0,00","0,0%","53,6%","16,4%","15,2%",GH6,NE
Várzea Grande,221140,PI,"132,6%","132,6%","56,0%","36,7%","4,8%","76,1%","2,9%","0,20","3,29","3,50","2,10","36,4%","0,0%","0,0%","0,0%","0,0%","44,9%",,,"100,0%","142,6%","0,00","16,2%","51,1%","17,5%","14,3%",GH6,NE
Vera Mendes,221150,PI,"100,4%","100,4%","51,5%","41,7%","6,8%","72,8%","4,2%","0,02","4,83","1,80","1,60","37,9%","0,0%","0,0%","0,0%","0,0%","53,1%",,,"100,0%","72,3%","0,00","15,8%","35,2%","16,7%","13,3%",GH6,NE
Vila Nova do Piauí,221160,PI,"97,5%","97,5%","74,8%","23,4%","1,8%","79,4%","30,7%","0,11","3,71","2,91","1,34","41,0%","0,0%","0,0%","0,0%","0,0%","45,8%","3,58",,"100,0%","91,5%","5,41","5,5%","37,4%","15,3%","11,7%",GH6,NE
Wall Ferraz,221170,PI,"140,2%","140,2%","48,0%","46,9%","4,1%","145,2%","5,1%","0,02","9,24","1,72","0,57","37,4%","0,0%","0,0%","0,0%","0,0%","41,9%",,"100,0%","100,0%","84,5%","0,61","0,1%","63,7%","16,5%","13,7%",GH6,NE
Abaiara,230010,CE,"115,5%","145,7%","67,9%","28,6%","2,3%","96,4%","8,9%","0,20","3,68","0,91","1,38","43,1%","0,0%","0,0%","0,0%","0,0%","45,7%",,"60,0%","100,0%","98,5%","0,94","10,2%","32,7%","17,6%","17,8%",GH6,NE
Acarape,230015,CE,"105,4%","97,8%","58,4%","35,5%","4,7%","71,1%","3,8%","0,33","2,97","0,86","1,50","43,6%","0,0%","0,0%","0,0%","0,0%","30,5%",,"61,5%","78,6%","98,0%","10,83","11,9%","53,7%","18,5%","14,1%",GH6,NE
Acaraú,230020,CE,"53,7%","66,0%","55,2%","38,4%","5,1%","69,2%","1,8%","0,27","3,82","0,92","1,46","32,5%","0,0%","0,0%","0,0%","0,0%","45,9%","1,63","78,9%","75,0%","104,7%","6,16","13,3%","62,0%","21,8%","13,3%",GH4,NE
Acopiara,230030,CE,"83,7%","55,7%","57,2%","35,6%","6,2%","58,1%","2,0%","0,10","3,80","0,90","1,01","25,2%","0,1%","0,0%","0,0%","0,0%","53,2%",,"73,3%","90,9%","97,6%","0,00","27,1%","52,2%","19,7%","9,6%",GH4,NE
Aiuaba,230040,CE,"95,6%","71,0%","68,3%","25,4%","4,0%","72,1%","0,6%","0,14","1,47","0,70","0,80","32,6%","0,0%","0,0%","0,0%","0,0%","43,3%","2,06","66,7%","85,7%","93,8%","0,85","4,6%","60,1%","16,4%","16,1%",GH6,NE
Alcântaras,230050,CE,"112,2%","53,4%","74,5%","22,0%","3,3%","63,1%","13,6%","0,59","2,62","1,85","2,23","35,9%","0,0%","0,0%","0,0%","0,0%","23,4%",,"66,7%","75,0%","112,6%","0,00","14,6%","51,6%","19,6%","15,3%",GH6,NE
Altaneira,230060,CE,"127,7%","87,6%","60,1%","37,1%","1,8%","82,5%","8,6%","0,44","4,98","1,90","1,56","39,1%","0,0%","0,0%","0,0%","0,0%","47,2%",,"100,0%","80,0%","101,0%","9,73","23,5%","52,6%","17,7%","17,7%",GH6,NE
Alto Santo,230070,CE,"105,4%","55,0%","89,5%","8,8%","1,0%","127,0%","14,7%","0,20","4,82","1,20","1,74","37,8%","0,0%","0,0%","0,0%","0,0%","32,3%",,"75,0%","100,0%","117,5%","10,44","5,3%","58,6%","16,6%","11,8%",GH6,NE
Amontada,230075,CE,"35,0%","31,9%","43,2%","48,3%","6,9%","65,1%","14,5%","0,25","2,52","0,63","0,75","28,4%","0,0%","0,0%","0,0%","0,0%","28,5%","0,94","71,4%","60,0%","86,2%","2,10","25,4%","71,1%","17,7%","14,1%",GH6,NE
Antonina do Norte,230080,CE,"104,8%","64,4%","69,9%","25,7%","3,3%","63,0%","4,9%","0,22","4,79","1,79","1,73","35,2%","0,0%","0,0%","0,0%","0,0%","55,8%",,"50,0%","91,3%","104,3%","0,22","18,1%","63,4%","18,6%","13,3%",GH6,NE
Apuiarés,230090,CE,"129,9%","107,7%","61,4%","29,3%","2,0%","101,7%","16,4%","0,19","2,03","0,85","0,87","32,6%","0,0%","0,0%","0,0%","0,0%","33,9%",,"50,0%","86,0%","134,6%","18,25","9,6%","56,5%","16,9%","16,2%",GH6,NE
Aquiraz,230100,CE,"90,7%","74,0%","50,1%","37,9%","7,1%","63,8%","4,6%","0,24","2,67","1,28","1,77","31,9%","0,0%","0,0%","0,0%","0,0%","35,7%","2,68","80,0%","57,7%","121,9%","1,62","8,0%","47,7%","19,0%","13,5%",GH4,NE
Aracati,230110,CE,"51,0%","58,6%","71,5%","22,0%","4,9%","66,3%","4,3%","0,27","3,84","1,64","1,37","30,4%","0,0%","0,0%","0,0%","0,0%","20,0%","0,71","73,3%","87,5%","97,6%","2,08","18,9%","56,5%","15,2%","17,2%",GH4,NE
Aracoiaba,230120,CE,"118,1%","110,2%","63,8%","31,9%","3,6%","81,8%","7,9%","0,25","4,53","1,06","1,50","31,9%","0,0%","0,0%","0,0%","0,0%","36,2%","1,52","82,4%","75,0%","126,1%","13,17","9,1%","51,9%","20,4%","15,2%",GH4,NE
Ararendá,230125,CE,"114,3%","114,3%","61,0%","32,1%","5,3%","73,5%","1,3%","0,18","2,71","0,40","1,18","35,8%","0,0%","0,0%","0,0%","0,0%","42,1%","3,46","60,0%","60,0%","104,2%","0,14","32,5%","70,0%","17,5%","16,2%",GH6,NE
Araripe,230130,CE,"101,5%","101,5%","67,7%","29,7%","2,0%","130,5%","10,1%","0,44","6,06","1,60","2,63","31,9%","0,0%","0,0%","0,0%","0,0%","54,0%",,"100,0%","100,0%","100,2%","21,35","10,3%","55,1%","21,4%","13,9%",GH6,NE
Aratuba,230140,CE,"156,1%","156,1%","76,7%","19,5%","1,7%","163,5%","18,1%","0,32","4,22","1,29","1,91","36,5%","0,0%","0,0%","0,0%","0,0%","29,7%",,"100,0%","100,0%","96,1%","23,95","9,1%","54,2%","17,4%","12,5%",GH6,NE
Arneiroz,230150,CE,"114,3%","78,4%","58,5%","33,8%","5,5%","87,1%","1,7%","0,09","5,18","0,70","1,07","35,1%","0,0%","0,0%","0,0%","0,0%","43,9%",,"100,0%","50,0%","97,5%","0,31","0,0%","57,4%","16,1%","16,7%",GH6,NE
Assaré,230160,CE,"110,3%","77,6%","69,3%","26,8%","3,5%","103,8%","4,9%","0,37","3,31","1,42","1,79","36,7%","0,0%","0,0%","0,0%","0,0%","42,9%","1,74","100,0%","61,5%","145,8%","0,39","15,1%","48,5%","16,2%","15,4%",GH6,NE
Aurora,230170,CE,"85,5%","59,0%","55,2%","40,2%","1,4%","122,8%","6,2%","0,38","8,12","1,52","1,66","34,0%","0,0%","0,0%","0,0%","0,0%","60,6%",,"89,5%","93,8%","98,6%","0,24","36,0%","30,5%","19,9%","15,5%",GH4,NE
Baixio,230180,CE,"41,5%","87,1%","52,8%","40,2%","5,1%","46,4%","1,6%","0,57","6,14","1,18","1,02","40,4%","0,0%","0,0%","0,0%","0,0%","49,7%",,,"60,0%","97,5%","2,12","15,1%","57,4%","17,9%","16,3%",GH6,NE
Banabuiú,230185,CE,"95,3%","44,7%","46,7%","44,3%","6,9%","93,2%","11,5%","0,05","2,23","0,99","1,22","35,4%","0,0%","0,0%","0,0%","0,0%","26,8%",,"100,0%","75,0%","103,8%","0,00","13,7%","63,2%","15,5%","15,6%",GH6,NE
Barbalha,230190,CE,"113,9%","110,2%","69,1%","27,7%","2,2%","74,3%","6,7%","2,89","6,73","7,32","7,07","44,1%","0,1%","0,6%","0,4%","0,8%","27,0%",,"61,9%","95,8%","86,3%","1,80","10,8%","41,2%","22,6%","13,9%",GH4,NE
Barreira,230195,CE,"123,3%","108,1%","47,1%","45,8%","5,6%","107,9%","5,0%","0,19","2,69","1,34","1,56","39,0%","0,0%","0,0%","0,0%","0,0%","31,6%","1,77","66,7%","83,3%","129,5%","0,19","13,0%","53,1%","20,2%","13,9%",GH6,NE
Barro,230200,CE,"98,1%","97,5%","75,5%","21,1%","2,5%","70,9%","8,1%","0,21","3,82","1,52","1,81","31,0%","0,0%","0,0%","0,0%","0,0%","43,4%",,"57,1%","79,2%","106,8%","4,43","16,1%","54,7%","19,4%","17,7%",GH6,NE
Barroquinha,230205,CE,"113,4%","77,7%","54,1%","37,7%","7,0%","50,0%","5,6%","0,54","1,97","1,14","0,98","34,6%","0,0%","0,0%","0,0%","0,0%","33,3%","2,11","100,0%","100,0%","98,5%","0,00","29,4%","66,1%","16,1%","12,4%",GH6,NE
Baturité,230210,CE,"73,5%","79,0%","63,5%","28,9%","6,1%","63,7%","9,1%","0,34","3,88","1,31","1,48","35,0%","0,0%","0,0%","0,0%","0,0%","33,3%","1,16","68,8%","66,7%","107,1%","6,83","8,2%","50,9%","18,6%","13,0%",GH4,NE
Beberibe,230220,CE,"79,9%","76,0%","59,0%","33,8%","5,2%","85,9%","4,8%","0,25","2,52","1,11","1,45","31,2%","0,0%","0,0%","0,0%","0,0%","44,5%",,"86,7%","100,0%","105,6%","3,79","9,6%","60,1%","12,8%","17,2%",GH6,NE
Bela Cruz,230230,CE,"82,6%","51,8%","68,4%","28,4%","2,6%","57,7%","3,1%","0,35","2,17","0,75","1,13","36,8%","0,0%","0,0%","0,0%","0,0%","32,9%","2,34","93,8%","100,0%","100,0%","3,42","13,0%","53,3%","22,7%","17,7%",GH6,NE
Boa Viagem,230240,CE,"20,5%","16,2%","35,6%","57,5%","5,7%","105,2%","1,9%","0,32","5,17","0,94","1,14","31,3%","0,0%","0,0%","0,0%","0,0%","33,4%",,"84,2%","92,6%","95,8%","2,82","21,6%","63,7%","15,1%","14,5%",GH4,NE
Brejo Santo,230250,CE,"91,3%","87,4%","69,1%","26,3%","4,1%","79,0%","9,5%","0,49","9,33","1,92","2,18","40,2%","0,1%","0,0%","0,2%","0,0%","55,8%","1,33","90,0%","86,8%","100,0%","12,06","11,9%","37,0%","25,1%","15,6%",GH4,NE
Camocim,230260,CE,"72,0%","69,0%","51,3%","39,0%","8,7%","99,4%","13,3%","0,93","3,50","1,55","1,72","35,3%","0,0%","0,0%","0,0%","0,0%","37,1%","1,30","78,4%","100,0%","117,3%","8,97","22,2%","62,0%","20,2%","16,4%",GH4,NE
Campos Sales,230270,CE,"77,3%","22,6%","68,2%","28,2%","2,8%","97,5%","3,6%","0,32","4,16","1,43","1,97","32,1%","0,0%","0,0%","0,0%","0,0%","35,8%","2,08","66,7%","86,7%","117,9%","1,35","19,4%","50,8%","23,3%","15,2%",GH6,NE
Canindé,230280,CE,"73,0%","27,9%","46,9%","40,6%","10,2%","77,2%","1,9%","0,43","3,40","1,32","1,22","35,6%","0,0%","0,0%","0,1%","0,0%","31,0%","0,85","93,5%","89,1%","97,7%","0,03","4,9%","58,6%","23,3%","18,5%",GH4,NE
Capistrano,230290,CE,"105,5%","87,9%","52,9%","39,9%","5,4%","92,6%","6,7%","0,33","3,17","1,28","1,57","32,1%","0,0%","0,0%","0,0%","0,0%","25,2%",,"0,0%","75,0%","100,8%","1,45","10,1%","57,6%","14,7%","15,2%",GH6,NE
Caridade,230300,CE,"88,7%","87,4%","58,0%","34,3%","6,3%","58,2%","2,0%","0,35","2,48","1,20","1,33","31,5%","0,0%","0,0%","0,0%","0,0%","36,9%",,"85,7%","82,4%","98,8%","5,48","4,6%","61,6%","16,2%","15,6%",GH6,NE
Cariré,230310,CE,"109,2%","73,6%","69,3%","25,2%","4,6%","68,0%","5,1%","1,10","3,35","2,20","2,24","33,1%","0,0%","0,0%","0,0%","0,0%","37,3%",,"83,3%","100,0%","99,2%","0,45","15,2%","68,0%","18,5%","16,4%",GH6,NE
Caririaçu,230320,CE,"125,7%","115,6%","59,9%","35,3%","4,3%","72,1%","3,1%","0,67","4,30","1,97","2,65","36,8%","0,0%","0,0%","0,0%","0,0%","34,1%","1,90","100,0%","100,0%","101,5%","2,71","8,2%","53,6%","18,4%","17,1%",GH6,NE
